county,precinct,office,district,candidate,party,votes,early_voting,mail,election_day,provisional,other
Volusia,0101 101,Soil & Water Conservation Seat 4,,Wendy Anderson,,347,62,152,132,1,0
Volusia,0101 101,Soil & Water Conservation Seat 4,,Barbara Deering,,322,81,93,148,0,0
Volusia,0101 101,Soil & Water Conservation Seat 4,,Over Votes,,0,0,0,0,0,0
Volusia,0101 101,Soil & Water Conservation Seat 4,,Under Votes,,131,21,60,50,0,0
Volusia,0101 101,WVHA - Group A Seat,,Judy Craig,,294,57,132,104,1,0
Volusia,0101 101,WVHA - Group A Seat,,John M. Hill,,382,88,117,177,0,0
Volusia,0101 101,WVHA - Group A Seat,,Over Votes,,0,0,0,0,0,0
Volusia,0101 101,WVHA - Group A Seat,,Under Votes,,124,19,56,49,0,0
Volusia,0101 101,WVHA - Group B Seat,,Jennifer Lee Coen,,333,60,148,124,1,0
Volusia,0101 101,WVHA - Group B Seat,,Michael Lee Ray,,340,84,101,155,0,0
Volusia,0101 101,WVHA - Group B Seat,,Over Votes,,0,0,0,0,0,0
Volusia,0101 101,WVHA - Group B Seat,,Under Votes,,127,20,56,51,0,0
Volusia,0101 101,Amendment 1 - Citzenship Requirement,,Yes,,643,134,235,274,0,0
Volusia,0101 101,Amendment 1 - Citzenship Requirement,,No,,121,25,55,40,1,0
Volusia,0101 101,Amendment 1 - Citzenship Requirement,,Over Votes,,1,0,1,0,0,0
Volusia,0101 101,Amendment 1 - Citzenship Requirement,,Under Votes,,35,5,14,16,0,0
Volusia,0101 101,Amendment 2 - Minimum Wage,,Yes,,302,57,154,90,1,0
Volusia,0101 101,Amendment 2 - Minimum Wage,,No,,461,103,135,223,0,0
Volusia,0101 101,Amendment 2 - Minimum Wage,,Over Votes,,0,0,0,0,0,0
Volusia,0101 101,Amendment 2 - Minimum Wage,,Under Votes,,37,4,16,17,0,0
Volusia,0101 101,Amendment 3 - Primary Elections,,Yes,,304,43,136,125,0,0
Volusia,0101 101,Amendment 3 - Primary Elections,,No,,446,115,148,182,1,0
Volusia,0101 101,Amendment 3 - Primary Elections,,Over Votes,,0,0,0,0,0,0
Volusia,0101 101,Amendment 3 - Primary Elections,,Under Votes,,50,6,21,23,0,0
Volusia,0101 101,Amendment 4 - Apprl Const. Amendment,,Yes,,417,100,117,200,0,0
Volusia,0101 101,Amendment 4 - Apprl Const. Amendment,,No,,323,58,162,102,1,0
Volusia,0101 101,Amendment 4 - Apprl Const. Amendment,,Over Votes,,0,0,0,0,0,0
Volusia,0101 101,Amendment 4 - Apprl Const. Amendment,,Under Votes,,60,6,26,28,0,0
Volusia,0101 101,Amendment 5 - Homestead,,Property Taxes,,,,,,,
Volusia,0101 101,Amendment 5 - Homestead,,Yes,,557,124,196,237,0,0
Volusia,0101 101,Amendment 5 - Homestead,,No,,174,33,76,64,1,0
Volusia,0101 101,Amendment 5 - Homestead,,Over Votes,,0,0,0,0,0,0
Volusia,0101 101,Amendment 5 - Homestead,,Under Votes,,69,7,33,29,0,0
Volusia,0101 101,Amendment 6 - Ad Valorem Tax Discount,,Yes,,661,137,255,269,0,0
Volusia,0101 101,Amendment 6 - Ad Valorem Tax Discount,,No,,94,20,33,40,1,0
Volusia,0101 101,Amendment 6 - Ad Valorem Tax Discount,,Over Votes,,0,0,0,0,0,0
Volusia,0101 101,Amendment 6 - Ad Valorem Tax Discount,,Under Votes,,45,7,17,21,0,0
Volusia,0101 101,Volusia ECHO,,Yes (For Bonds),,426,83,191,151,1,0
Volusia,0101 101,Volusia ECHO,,No (Against Bonds),,316,74,87,155,0,0
Volusia,0101 101,Volusia ECHO,,Over Votes,,1,0,0,1,0,0
Volusia,0101 101,Volusia ECHO,,Under Votes,,57,7,27,23,0,0
Volusia,0101 101,Volusia Forever,,Yes (For Bonds),,445,84,199,161,1,0
Volusia,0101 101,Volusia Forever,,No (Against Bonds),,301,75,80,146,0,0
Volusia,0101 101,Volusia Forever,,Over Votes,,0,0,0,0,0,0
Volusia,0101 101,Volusia Forever,,Under Votes,,54,5,26,23,0,0
Volusia,0105 105,President,,Donald J. Trump,REP,410,59,112,239,0,0
Volusia,0105 105,President,,Joseph R. Biden,DEM,178,25,60,93,0,0
Volusia,0105 105,President,,Jo Jorgensen,LPF,3,1,2,0,0,0
Volusia,0105 105,President,,"Roque ""Rocky"" De La Fuente",REF,2,1,0,1,0,0
Volusia,0105 105,President,,Gloria La Riva,PSL,0,0,0,0,0,0
Volusia,0105 105,President,,Howie Hawkins,GRE,1,0,0,1,0,0
Volusia,0105 105,President,,Don Blankenship,CPF,1,0,1,0,0,0
Volusia,0105 105,President,,WRITE-IN,,0,0,0,0,0,0
Volusia,0105 105,President,,Over Votes,,0,0,0,0,0,0
Volusia,0105 105,President,,Under Votes,,2,1,0,1,0,0
Volusia,0105 105,U.S. House,6,Michael Waltz,REP,405,61,109,235,0,0
Volusia,0105 105,U.S. House,6,Clint Curtis,DEM,166,23,56,87,0,0
Volusia,0105 105,U.S. House,6,WRITE-IN,,0,0,0,0,0,0
Volusia,0105 105,U.S. House,6,Over Votes,,0,0,0,0,0,0
Volusia,0105 105,U.S. House,6,Under Votes,,26,3,10,13,0,0
Volusia,0105 105,State Attorney 7th Judicial Circuit,,R.J. Larizza,REP,382,56,106,220,0,0
Volusia,0105 105,State Attorney 7th Judicial Circuit,,Don Dempsey,,174,27,56,91,0,0
Volusia,0105 105,State Attorney 7th Judicial Circuit,,Over Votes,,2,0,0,2,0,0
Volusia,0105 105,State Attorney 7th Judicial Circuit,,Under Votes,,39,4,13,22,0,0
Volusia,0105 105,State Senate,7,Travis J. Hutson,REP,401,61,108,232,0,0
Volusia,0105 105,State Senate,7,Heather Hunter,DEM,167,20,57,90,0,0
Volusia,0105 105,State Senate,7,WRITE-IN,,0,0,0,0,0,0
Volusia,0105 105,State Senate,7,Over Votes,,1,1,0,0,0,0
Volusia,0105 105,State Senate,7,Under Votes,,28,5,10,13,0,0
Volusia,0105 105,State House,24,Paul Renner,REP,404,64,107,233,0,0
Volusia,0105 105,State House,24,Adam Morley,DEM,161,19,57,85,0,0
Volusia,0105 105,State House,24,Over Votes,,0,0,0,0,0,0
Volusia,0105 105,State House,24,Under Votes,,32,4,11,17,0,0
Volusia,0105 105,Supreme Court - Carlos G. Muniz,,Yes,,346,48,91,207,0,0
Volusia,0105 105,Supreme Court - Carlos G. Muniz,,No,,157,24,50,83,0,0
Volusia,0105 105,Supreme Court - Carlos G. Muniz,,Over Votes,,0,0,0,0,0,0
Volusia,0105 105,Supreme Court - Carlos G. Muniz,,Under Votes,,94,15,34,45,0,0
Volusia,0105 105,5th Dist Crt of Appeal - Evander,,Yes,,347,51,98,198,0,0
Volusia,0105 105,5th Dist Crt of Appeal - Evander,,No,,157,24,42,91,0,0
Volusia,0105 105,5th Dist Crt of Appeal - Evander,,Over Votes,,0,0,0,0,0,0
Volusia,0105 105,5th Dist Crt of Appeal - Evander,,Under Votes,,93,12,35,46,0,0
Volusia,0105 105,5th Dist Crt of Appeal - Grosshans,,Yes,,360,48,95,217,0,0
Volusia,0105 105,5th Dist Crt of Appeal - Grosshans,,No,,141,26,43,72,0,0
Volusia,0105 105,5th Dist Crt of Appeal - Grosshans,,Over Votes,,0,0,0,0,0,0
Volusia,0105 105,5th Dist Crt of Appeal - Grosshans,,Under Votes,,96,13,37,46,0,0
Volusia,0105 105,5th Dist Crt of Appeal - Harris,,Yes,,363,47,98,218,0,0
Volusia,0105 105,5th Dist Crt of Appeal - Harris,,No,,137,28,41,68,0,0
Volusia,0105 105,5th Dist Crt of Appeal - Harris,,Over Votes,,0,0,0,0,0,0
Volusia,0105 105,5th Dist Crt of Appeal - Harris,,Under Votes,,97,12,36,49,0,0
Volusia,0105 105,5th Dist Crt of Appeal - Orfinger,,Yes,,356,47,99,210,0,0
Volusia,0105 105,5th Dist Crt of Appeal - Orfinger,,No,,140,27,42,71,0,0
Volusia,0105 105,5th Dist Crt of Appeal - Orfinger,,Over Votes,,0,0,0,0,0,0
Volusia,0105 105,5th Dist Crt of Appeal - Orfinger,,Under Votes,,101,13,34,54,0,0
Volusia,0105 105,5th Dist Crt of Appeal - Sasso,,Yes,,355,48,100,207,0,0
Volusia,0105 105,5th Dist Crt of Appeal - Sasso,,No,,133,22,36,75,0,0
Volusia,0105 105,5th Dist Crt of Appeal - Sasso,,Over Votes,,0,0,0,0,0,0
Volusia,0105 105,5th Dist Crt of Appeal - Sasso,,Under Votes,,109,17,39,53,0,0
Volusia,0105 105,5th Dist Crt of Appeal - Wallis,,Yes,,355,44,100,211,0,0
Volusia,0105 105,5th Dist Crt of Appeal - Wallis,,No,,142,31,39,72,0,0
Volusia,0105 105,5th Dist Crt of Appeal - Wallis,,Over Votes,,0,0,0,0,0,0
Volusia,0105 105,5th Dist Crt of Appeal - Wallis,,Under Votes,,100,12,36,52,0,0
Volusia,0105 105,Circuit Judge,,Joan Anthony,,259,35,76,148,0,0
Volusia,0105 105,Circuit Judge,,Dan Hilbert,,229,39,62,128,0,0
Volusia,0105 105,Circuit Judge,,Over Votes,,1,1,0,0,0,0
Volusia,0105 105,Circuit Judge,,Under Votes,,108,12,37,59,0,0
Volusia,0105 105,County Council Chair,,Jeff Brower,,363,52,106,205,0,0
Volusia,0105 105,County Council Chair,,"Deborah A. ""Deb"" Denys",,156,27,44,85,0,0
Volusia,0105 105,County Council Chair,,Over Votes,,1,0,1,0,0,0
Volusia,0105 105,County Council Chair,,Under Votes,,77,8,24,45,0,0
Volusia,0105 105,Soil & Water Conservation Seat 2,,John Nelson,,345,55,92,198,0,0
Volusia,0105 105,Soil & Water Conservation Seat 2,,Wesley Wayne Wilson Jr,,149,23,44,82,0,0
Volusia,0105 105,Soil & Water Conservation Seat 2,,Over Votes,,0,0,0,0,0,0
Volusia,0105 105,Soil & Water Conservation Seat 2,,Under Votes,,103,9,39,55,0,0
Volusia,0105 105,Soil & Water Conservation Seat 4,,Wendy Anderson,,249,35,81,133,0,0
Volusia,0105 105,Soil & Water Conservation Seat 4,,Barbara Deering,,241,43,54,144,0,0
Volusia,0105 105,Soil & Water Conservation Seat 4,,Over Votes,,0,0,0,0,0,0
Volusia,0105 105,Soil & Water Conservation Seat 4,,Under Votes,,107,9,40,58,0,0
Volusia,0105 105,WVHA - Group A Seat,,Judy Craig,,222,38,75,109,0,0
Volusia,0105 105,WVHA - Group A Seat,,John M. Hill,,282,40,67,175,0,0
Volusia,0105 105,WVHA - Group A Seat,,Over Votes,,0,0,0,0,0,0
Volusia,0105 105,WVHA - Group A Seat,,Under Votes,,93,9,33,51,0,0
Volusia,0105 105,WVHA - Group B Seat,,Jennifer Lee Coen,,263,38,85,140,0,0
Volusia,0105 105,WVHA - Group B Seat,,Michael Lee Ray,,231,38,50,143,0,0
Volusia,0105 105,WVHA - Group B Seat,,Over Votes,,0,0,0,0,0,0
Volusia,0105 105,WVHA - Group B Seat,,Under Votes,,103,11,40,52,0,0
Volusia,0105 105,Pierson Council Seat,,Herbert J. Bennett,,244,37,53,154,0,0
Volusia,0105 105,Pierson Council Seat,,Sergia Cardenas,,251,40,74,137,0,0
Volusia,0105 105,Pierson Council Seat,,Over Votes,,1,0,1,0,0,0
Volusia,0105 105,Pierson Council Seat,,Under Votes,,101,10,47,44,0,0
Volusia,0105 105,Amendment 1 - Citzenship Requirement,,Yes,,456,70,128,258,0,0
Volusia,0105 105,Amendment 1 - Citzenship Requirement,,No,,110,12,36,62,0,0
Volusia,0105 105,Amendment 1 - Citzenship Requirement,,Over Votes,,0,0,0,0,0,0
Volusia,0105 105,Amendment 1 - Citzenship Requirement,,Under Votes,,31,5,11,15,0,0
Volusia,0105 105,Amendment 2 - Minimum Wage,,Yes,,247,36,87,124,0,0
Volusia,0105 105,Amendment 2 - Minimum Wage,,No,,321,47,79,195,0,0
Volusia,0105 105,Amendment 2 - Minimum Wage,,Over Votes,,1,0,0,1,0,0
Volusia,0105 105,Amendment 2 - Minimum Wage,,Under Votes,,28,4,9,15,0,0
Volusia,0105 105,Amendment 3 - Primary Elections,,Yes,,243,38,83,122,0,0
Volusia,0105 105,Amendment 3 - Primary Elections,,No,,312,44,82,186,0,0
Volusia,0105 105,Amendment 3 - Primary Elections,,Over Votes,,0,0,0,0,0,0
Volusia,0105 105,Amendment 3 - Primary Elections,,Under Votes,,42,5,10,27,0,0
Volusia,0105 105,Amendment 4 - Apprl Const. Amendment,,Yes,,319,57,86,176,0,0
Volusia,0105 105,Amendment 4 - Apprl Const. Amendment,,No,,221,26,75,120,0,0
Volusia,0105 105,Amendment 4 - Apprl Const. Amendment,,Over Votes,,0,0,0,0,0,0
Volusia,0105 105,Amendment 4 - Apprl Const. Amendment,,Under Votes,,57,4,14,39,0,0
Volusia,0105 105,Amendment 5 - Homestead,,Property Taxes,,,,,,,
Volusia,0105 105,Amendment 5 - Homestead,,Yes,,396,64,102,230,0,0
Volusia,0105 105,Amendment 5 - Homestead,,No,,144,17,54,73,0,0
Volusia,0105 105,Amendment 5 - Homestead,,Over Votes,,0,0,0,0,0,0
Volusia,0105 105,Amendment 5 - Homestead,,Under Votes,,57,6,19,32,0,0
Volusia,0105 105,Amendment 6 - Ad Valorem Tax Discount,,Yes,,477,72,134,271,0,0
Volusia,0105 105,Amendment 6 - Ad Valorem Tax Discount,,No,,78,12,29,37,0,0
Volusia,0105 105,Amendment 6 - Ad Valorem Tax Discount,,Over Votes,,0,0,0,0,0,0
Volusia,0105 105,Amendment 6 - Ad Valorem Tax Discount,,Under Votes,,42,3,12,27,0,0
Volusia,0105 105,Volusia ECHO,,Yes (For Bonds),,326,49,107,170,0,0
Volusia,0105 105,Volusia ECHO,,No (Against Bonds),,223,32,55,136,0,0
Volusia,0105 105,Volusia ECHO,,Over Votes,,0,0,0,0,0,0
Volusia,0105 105,Volusia ECHO,,Under Votes,,48,6,13,29,0,0
Volusia,0105 105,Volusia Forever,,Yes (For Bonds),,351,52,113,186,0,0
Volusia,0105 105,Volusia Forever,,No (Against Bonds),,198,29,50,119,0,0
Volusia,0105 105,Volusia Forever,,Over Votes,,1,1,0,0,0,0
Volusia,0105 105,Volusia Forever,,Under Votes,,47,5,12,30,0,0
Volusia,0107 107,President,,Donald J. Trump,REP,1016,271,353,391,1,0
Volusia,0107 107,President,,Joseph R. Biden,DEM,300,51,178,71,0,0
Volusia,0107 107,President,,Jo Jorgensen,LPF,1,0,0,1,0,0
Volusia,0107 107,President,,"Roque ""Rocky"" De La Fuente",REF,1,0,1,0,0,0
Volusia,0107 107,President,,Gloria La Riva,PSL,0,0,0,0,0,0
Volusia,0107 107,President,,Howie Hawkins,GRE,1,0,1,0,0,0
Volusia,0107 107,President,,Don Blankenship,CPF,0,0,0,0,0,0
Volusia,0107 107,President,,WRITE-IN,,0,0,0,0,0,0
Volusia,0107 107,President,,Over Votes,,3,1,2,0,0,0
Volusia,0107 107,President,,Under Votes,,1,1,0,0,0,0
Volusia,0107 107,U.S. House,6,Michael Waltz,REP,985,263,349,372,1,0
Volusia,0107 107,U.S. House,6,Clint Curtis,DEM,292,48,174,70,0,0
Volusia,0107 107,U.S. House,6,WRITE-IN,,5,4,1,0,0,0
Volusia,0107 107,U.S. House,6,Over Votes,,0,0,0,0,0,0
Volusia,0107 107,U.S. House,6,Under Votes,,41,9,11,21,0,0
Volusia,0107 107,State Attorney 7th Judicial Circuit,,R.J. Larizza,REP,917,232,335,349,1,0
Volusia,0107 107,State Attorney 7th Judicial Circuit,,Don Dempsey,,350,80,178,92,0,0
Volusia,0107 107,State Attorney 7th Judicial Circuit,,Over Votes,,0,0,0,0,0,0
Volusia,0107 107,State Attorney 7th Judicial Circuit,,Under Votes,,56,12,22,22,0,0
Volusia,0107 107,State Senate,7,Travis J. Hutson,REP,982,262,348,371,1,0
Volusia,0107 107,State Senate,7,Heather Hunter,DEM,292,53,168,71,0,0
Volusia,0107 107,State Senate,7,WRITE-IN,,1,0,1,0,0,0
Volusia,0107 107,State Senate,7,Over Votes,,1,0,1,0,0,0
Volusia,0107 107,State Senate,7,Under Votes,,47,9,17,21,0,0
Volusia,0107 107,State House,24,Paul Renner,REP,980,265,342,372,1,0
Volusia,0107 107,State House,24,Adam Morley,DEM,297,51,176,70,0,0
Volusia,0107 107,State House,24,Over Votes,,0,0,0,0,0,0
Volusia,0107 107,State House,24,Under Votes,,46,8,17,21,0,0
Volusia,0107 107,Supreme Court - Carlos G. Muniz,,Yes,,779,203,297,279,0,0
Volusia,0107 107,Supreme Court - Carlos G. Muniz,,No,,304,71,129,103,1,0
Volusia,0107 107,Supreme Court - Carlos G. Muniz,,Over Votes,,1,0,0,1,0,0
Volusia,0107 107,Supreme Court - Carlos G. Muniz,,Under Votes,,239,50,109,80,0,0
Volusia,0107 107,5th Dist Crt of Appeal - Evander,,Yes,,805,204,315,285,1,0
Volusia,0107 107,5th Dist Crt of Appeal - Evander,,No,,274,67,104,103,0,0
Volusia,0107 107,5th Dist Crt of Appeal - Evander,,Over Votes,,0,0,0,0,0,0
Volusia,0107 107,5th Dist Crt of Appeal - Evander,,Under Votes,,244,53,116,75,0,0
Volusia,0107 107,5th Dist Crt of Appeal - Grosshans,,Yes,,774,193,299,282,0,0
Volusia,0107 107,5th Dist Crt of Appeal - Grosshans,,No,,299,78,116,104,1,0
Volusia,0107 107,5th Dist Crt of Appeal - Grosshans,,Over Votes,,0,0,0,0,0,0
Volusia,0107 107,5th Dist Crt of Appeal - Grosshans,,Under Votes,,250,53,120,77,0,0
Volusia,0107 107,5th Dist Crt of Appeal - Harris,,Yes,,824,206,314,303,1,0
Volusia,0107 107,5th Dist Crt of Appeal - Harris,,No,,258,64,109,85,0,0
Volusia,0107 107,5th Dist Crt of Appeal - Harris,,Over Votes,,0,0,0,0,0,0
Volusia,0107 107,5th Dist Crt of Appeal - Harris,,Under Votes,,241,54,112,75,0,0
Volusia,0107 107,5th Dist Crt of Appeal - Orfinger,,Yes,,795,199,305,290,1,0
Volusia,0107 107,5th Dist Crt of Appeal - Orfinger,,No,,278,69,113,96,0,0
Volusia,0107 107,5th Dist Crt of Appeal - Orfinger,,Over Votes,,0,0,0,0,0,0
Volusia,0107 107,5th Dist Crt of Appeal - Orfinger,,Under Votes,,250,56,117,77,0,0
Volusia,0107 107,5th Dist Crt of Appeal - Sasso,,Yes,,779,204,287,287,1,0
Volusia,0107 107,5th Dist Crt of Appeal - Sasso,,No,,281,61,124,96,0,0
Volusia,0107 107,5th Dist Crt of Appeal - Sasso,,Over Votes,,0,0,0,0,0,0
Volusia,0107 107,5th Dist Crt of Appeal - Sasso,,Under Votes,,263,59,124,80,0,0
Volusia,0107 107,5th Dist Crt of Appeal - Wallis,,Yes,,795,205,306,283,1,0
Volusia,0107 107,5th Dist Crt of Appeal - Wallis,,No,,264,57,109,98,0,0
Volusia,0107 107,5th Dist Crt of Appeal - Wallis,,Over Votes,,0,0,0,0,0,0
Volusia,0107 107,5th Dist Crt of Appeal - Wallis,,Under Votes,,264,62,120,82,0,0
Volusia,0107 107,Circuit Judge,,Joan Anthony,,503,117,249,137,0,0
Volusia,0107 107,Circuit Judge,,Dan Hilbert,,546,149,161,235,1,0
Volusia,0107 107,Circuit Judge,,Over Votes,,2,0,0,2,0,0
Volusia,0107 107,Circuit Judge,,Under Votes,,272,58,125,89,0,0
Volusia,0107 107,County Council Chair,,Jeff Brower,,836,216,300,319,1,0
Volusia,0107 107,County Council Chair,,"Deborah A. ""Deb"" Denys",,286,66,130,90,0,0
Volusia,0107 107,County Council Chair,,Over Votes,,1,1,0,0,0,0
Volusia,0107 107,County Council Chair,,Under Votes,,200,41,105,54,0,0
Volusia,0107 107,Soil & Water Conservation Seat 2,,John Nelson,,807,215,289,302,1,0
Volusia,0107 107,Soil & Water Conservation Seat 2,,Wesley Wayne Wilson Jr,,218,46,95,77,0,0
Volusia,0107 107,Soil & Water Conservation Seat 2,,Over Votes,,0,0,0,0,0,0
Volusia,0107 107,Soil & Water Conservation Seat 2,,Under Votes,,298,63,151,84,0,0
Volusia,0107 107,Soil & Water Conservation Seat 4,,Wendy Anderson,,539,121,253,165,0,0
Volusia,0107 107,Soil & Water Conservation Seat 4,,Barbara Deering,,499,145,139,214,1,0
Volusia,0107 107,Soil & Water Conservation Seat 4,,Over Votes,,1,0,0,1,0,0
Volusia,0107 107,Soil & Water Conservation Seat 4,,Under Votes,,284,58,143,83,0,0
Volusia,0107 107,WVHA - Group A Seat,,Judy Craig,,486,100,235,151,0,0
Volusia,0107 107,WVHA - Group A Seat,,John M. Hill,,587,171,183,232,1,0
Volusia,0107 107,WVHA - Group A Seat,,Over Votes,,0,0,0,0,0,0
Volusia,0107 107,WVHA - Group A Seat,,Under Votes,,250,53,117,80,0,0
Volusia,0107 107,WVHA - Group B Seat,,Jennifer Lee Coen,,546,112,273,161,0,0
Volusia,0107 107,WVHA - Group B Seat,,Michael Lee Ray,,509,153,132,223,1,0
Volusia,0107 107,WVHA - Group B Seat,,Over Votes,,1,0,0,1,0,0
Volusia,0107 107,WVHA - Group B Seat,,Under Votes,,267,59,130,78,0,0
Volusia,0107 107,Amendment 1 - Citzenship Requirement,,Yes,,1101,265,436,399,1,0
Volusia,0107 107,Amendment 1 - Citzenship Requirement,,No,,160,41,76,43,0,0
Volusia,0107 107,Amendment 1 - Citzenship Requirement,,Over Votes,,0,0,0,0,0,0
Volusia,0107 107,Amendment 1 - Citzenship Requirement,,Under Votes,,62,18,23,21,0,0
Volusia,0107 107,Amendment 2 - Minimum Wage,,Yes,,469,95,262,112,0,0
Volusia,0107 107,Amendment 2 - Minimum Wage,,No,,801,213,255,332,1,0
Volusia,0107 107,Amendment 2 - Minimum Wage,,Over Votes,,0,0,0,0,0,0
Volusia,0107 107,Amendment 2 - Minimum Wage,,Under Votes,,53,16,18,19,0,0
Volusia,0107 107,Amendment 3 - Primary Elections,,Yes,,525,107,260,158,0,0
