county,precinct,office,district,candidate,party,votes,absentee,early_voting,election_day
Sumter,0101 101 SAVANNAH CTR,No. 5 Constitutional Amendment,,Under Votes,,250,108,111,31
Sumter,0101 101 SAVANNAH CTR,No. 6 Constitutional Amendment,,Yes,,1824,878,768,178
Sumter,0101 101 SAVANNAH CTR,No. 6 Constitutional Amendment,,No,,158,,,
Sumter,0101 101 SAVANNAH CTR,No. 6 Constitutional Amendment,,Over Votes,,0,0,0,0
Sumter,0101 101 SAVANNAH CTR,No. 6 Constitutional Amendment,,Under Votes,,228,,,
Sumter,0102 102 HOPE LUTH CHURCH,Registered Voters,,,,4518,,,
Sumter,0102 102 HOPE LUTH CHURCH,Ballots Cast,,,,4020,1921,1872,227
Sumter,0102 102 HOPE LUTH CHURCH,Ballots Cast Blank,,,,0,0,0,0
Sumter,0102 102 HOPE LUTH CHURCH,President,,Donald J. Trump,REP,2726,1014,1508,204
Sumter,0102 102 HOPE LUTH CHURCH,President,,Joseph R. Biden,DEM,1266,,,
Sumter,0102 102 HOPE LUTH CHURCH,President,,Jo Jorgensen,LPF,5,,,
Sumter,0102 102 HOPE LUTH CHURCH,President,,"Roque ""Rocky"" De La Fuente",REF,0,0,0,0
Sumter,0102 102 HOPE LUTH CHURCH,President,,Gloria La Riva,PSL,0,0,0,0
Sumter,0102 102 HOPE LUTH CHURCH,President,,Howie Hawkins,GRE,1,,,
Sumter,0102 102 HOPE LUTH CHURCH,President,,Don Blankenship,CPF,1,,,
Sumter,0102 102 HOPE LUTH CHURCH,President,,WRITE-IN,,6,,,
Sumter,0102 102 HOPE LUTH CHURCH,President,,Over Votes,,4,,,
Sumter,0102 102 HOPE LUTH CHURCH,President,,Under Votes,,11,,,
Sumter,0102 102 HOPE LUTH CHURCH,U.S. House,11,Daniel Webster,REP,2767,1072,1494,201
Sumter,0102 102 HOPE LUTH CHURCH,U.S. House,11,Dana Marie Cottrell,DEM,1146,,,
Sumter,0102 102 HOPE LUTH CHURCH,U.S. House,11,Over Votes,,0,0,0,0
Sumter,0102 102 HOPE LUTH CHURCH,U.S. House,11,Under Votes,,107,,,
Sumter,0102 102 HOPE LUTH CHURCH,State House,33,Brett T. Hage,REP,2714,1048,1475,191
Sumter,0102 102 HOPE LUTH CHURCH,State House,33,"Mamie ""Dee"" Melvin",DEM,1133,,,
Sumter,0102 102 HOPE LUTH CHURCH,State House,33,Over Votes,,0,0,0,0
Sumter,0102 102 HOPE LUTH CHURCH,State House,33,Under Votes,,173,,,
Sumter,0102 102 HOPE LUTH CHURCH,Board of County Commissioners District 1,,Gary Search,REP,3016,1281,1542,193
Sumter,0102 102 HOPE LUTH CHURCH,Board of County Commissioners District 1,,Larry J. Green,,734,,,
Sumter,0102 102 HOPE LUTH CHURCH,Board of County Commissioners District 1,,Over Votes,,0,0,0,0
Sumter,0102 102 HOPE LUTH CHURCH,Board of County Commissioners District 1,,Under Votes,,270,,,
Sumter,0102 102 HOPE LUTH CHURCH,Justice of the Supreme Court Carlos G. Muniz,,Yes,,2549,1150,1251,148
Sumter,0102 102 HOPE LUTH CHURCH,Justice of the Supreme Court Carlos G. Muniz,,No,,775,438,296,41
Sumter,0102 102 HOPE LUTH CHURCH,Justice of the Supreme Court Carlos G. Muniz,,Over Votes,,1,,,
Sumter,0102 102 HOPE LUTH CHURCH,Justice of the Supreme Court Carlos G. Muniz,,Under Votes,,695,333,324,38
Sumter,0102 102 HOPE LUTH CHURCH,Fifth District Court of Appeal Kerry I. Evander,,Yes,,2632,1239,1250,143
Sumter,0102 102 HOPE LUTH CHURCH,Fifth District Court of Appeal Kerry I. Evander,,No,,662,333,286,43
Sumter,0102 102 HOPE LUTH CHURCH,Fifth District Court of Appeal Kerry I. Evander,,Over Votes,,1,,,
Sumter,0102 102 HOPE LUTH CHURCH,Fifth District Court of Appeal Kerry I. Evander,,Under Votes,,725,349,335,41
Sumter,0102 102 HOPE LUTH CHURCH,Fifth District Court of Appeal Jamie Grosshans,,Yes,,2519,1120,1244,155
Sumter,0102 102 HOPE LUTH CHURCH,Fifth District Court of Appeal Jamie Grosshans,,No,,706,397,275,34
Sumter,0102 102 HOPE LUTH CHURCH,Fifth District Court of Appeal Jamie Grosshans,,Over Votes,,0,0,0,0
Sumter,0102 102 HOPE LUTH CHURCH,Fifth District Court of Appeal Jamie Grosshans,,Under Votes,,795,404,353,38
Sumter,0102 102 HOPE LUTH CHURCH,Fifth District Court of Appeal John M. Harris,,Yes,,2629,1226,1254,149
Sumter,0102 102 HOPE LUTH CHURCH,Fifth District Court of Appeal John M. Harris,,No,,646,346,264,36
Sumter,0102 102 HOPE LUTH CHURCH,Fifth District Court of Appeal John M. Harris,,Over Votes,,0,0,0,0
Sumter,0102 102 HOPE LUTH CHURCH,Fifth District Court of Appeal John M. Harris,,Under Votes,,745,349,354,42
Sumter,0102 102 HOPE LUTH CHURCH,Fifth District Court of Appeal Richard B. Orfinger,,Yes,,2571,1214,1215,142
Sumter,0102 102 HOPE LUTH CHURCH,Fifth District Court of Appeal Richard B. Orfinger,,No,,686,358,286,42
Sumter,0102 102 HOPE LUTH CHURCH,Fifth District Court of Appeal Richard B. Orfinger,,Over Votes,,1,,,
Sumter,0102 102 HOPE LUTH CHURCH,Fifth District Court of Appeal Richard B. Orfinger,,Under Votes,,762,349,370,43
Sumter,0102 102 HOPE LUTH CHURCH,Fifth District Court of Appeal Meredith Sasso,,Yes,,2585,1194,1242,149
Sumter,0102 102 HOPE LUTH CHURCH,Fifth District Court of Appeal Meredith Sasso,,No,,671,375,261,35
Sumter,0102 102 HOPE LUTH CHURCH,Fifth District Court of Appeal Meredith Sasso,,Over Votes,,0,0,0,0
Sumter,0102 102 HOPE LUTH CHURCH,Fifth District Court of Appeal Meredith Sasso,,Under Votes,,764,352,369,43
Sumter,0102 102 HOPE LUTH CHURCH,Fifth District Court of Appeal F. Rand Wallis,,Yes,,2580,1213,1221,146
Sumter,0102 102 HOPE LUTH CHURCH,Fifth District Court of Appeal F. Rand Wallis,,No,,666,352,275,39
Sumter,0102 102 HOPE LUTH CHURCH,Fifth District Court of Appeal F. Rand Wallis,,Over Votes,,0,0,0,0
Sumter,0102 102 HOPE LUTH CHURCH,Fifth District Court of Appeal F. Rand Wallis,,Under Votes,,774,356,376,42
Sumter,0102 102 HOPE LUTH CHURCH,No. 1 Constitutional Amendment,,Yes,,3330,1502,1624,204
Sumter,0102 102 HOPE LUTH CHURCH,No. 1 Constitutional Amendment,,No,,480,,,
Sumter,0102 102 HOPE LUTH CHURCH,No. 1 Constitutional Amendment,,Over Votes,,0,0,0,0
Sumter,0102 102 HOPE LUTH CHURCH,No. 1 Constitutional Amendment,,Under Votes,,210,,,
Sumter,0102 102 HOPE LUTH CHURCH,No. 2 Constitutional Amendment,,Yes,,2283,1270,925,88
Sumter,0102 102 HOPE LUTH CHURCH,No. 2 Constitutional Amendment,,No,,1507,549,837,121
Sumter,0102 102 HOPE LUTH CHURCH,No. 2 Constitutional Amendment,,Over Votes,,2,,,
Sumter,0102 102 HOPE LUTH CHURCH,No. 2 Constitutional Amendment,,Under Votes,,228,,,
Sumter,0102 102 HOPE LUTH CHURCH,No. 3 Constitutional Amendment,,Yes,,2015,1014,907,94
Sumter,0102 102 HOPE LUTH CHURCH,No. 3 Constitutional Amendment,,No,,1614,738,770,106
Sumter,0102 102 HOPE LUTH CHURCH,No. 3 Constitutional Amendment,,Over Votes,,1,,,
Sumter,0102 102 HOPE LUTH CHURCH,No. 3 Constitutional Amendment,,Under Votes,,390,,,
Sumter,0102 102 HOPE LUTH CHURCH,No. 4 Constitutional Amendment,,Yes,,1825,739,962,124
Sumter,0102 102 HOPE LUTH CHURCH,No. 4 Constitutional Amendment,,No,,1756,987,698,71
Sumter,0102 102 HOPE LUTH CHURCH,No. 4 Constitutional Amendment,,Over Votes,,2,,,
Sumter,0102 102 HOPE LUTH CHURCH,No. 4 Constitutional Amendment,,Under Votes,,437,195,210,32
Sumter,0102 102 HOPE LUTH CHURCH,No. 5 Constitutional Amendment,,Yes,,2666,1247,1260,159
Sumter,0102 102 HOPE LUTH CHURCH,No. 5 Constitutional Amendment,,No,,936,491,412,33
Sumter,0102 102 HOPE LUTH CHURCH,No. 5 Constitutional Amendment,,Over Votes,,3,,,
Sumter,0102 102 HOPE LUTH CHURCH,No. 5 Constitutional Amendment,,Under Votes,,415,182,199,34
Sumter,0102 102 HOPE LUTH CHURCH,No. 6 Constitutional Amendment,,Yes,,3346,1586,1575,185
Sumter,0102 102 HOPE LUTH CHURCH,No. 6 Constitutional Amendment,,No,,325,,,
Sumter,0102 102 HOPE LUTH CHURCH,No. 6 Constitutional Amendment,,Over Votes,,0,0,0,0
Sumter,0102 102 HOPE LUTH CHURCH,No. 6 Constitutional Amendment,,Under Votes,,349,150,169,30
Sumter,0103 103 SADDLEBROOK REC,Registered Voters,,,,5294,,,
Sumter,0103 103 SADDLEBROOK REC,Ballots Cast,,,,4867,2442,2198,227
Sumter,0103 103 SADDLEBROOK REC,Ballots Cast Blank,,,,1,,,
Sumter,0103 103 SADDLEBROOK REC,President,,Donald J. Trump,REP,3302,1303,1804,195
Sumter,0103 103 SADDLEBROOK REC,President,,Joseph R. Biden,DEM,1522,,,
Sumter,0103 103 SADDLEBROOK REC,President,,Jo Jorgensen,LPF,7,,,
Sumter,0103 103 SADDLEBROOK REC,President,,"Roque ""Rocky"" De La Fuente",REF,2,,,
Sumter,0103 103 SADDLEBROOK REC,President,,Gloria La Riva,PSL,1,,,
Sumter,0103 103 SADDLEBROOK REC,President,,Howie Hawkins,GRE,1,,,
Sumter,0103 103 SADDLEBROOK REC,President,,Don Blankenship,CPF,3,,,
Sumter,0103 103 SADDLEBROOK REC,President,,WRITE-IN,,7,,,
Sumter,0103 103 SADDLEBROOK REC,President,,Over Votes,,4,,,
Sumter,0103 103 SADDLEBROOK REC,President,,Under Votes,,18,,,
Sumter,0103 103 SADDLEBROOK REC,U.S. House,11,Daniel Webster,REP,3332,1354,1778,200
Sumter,0103 103 SADDLEBROOK REC,U.S. House,11,Dana Marie Cottrell,DEM,1419,,,
Sumter,0103 103 SADDLEBROOK REC,U.S. House,11,Over Votes,,0,0,0,0
Sumter,0103 103 SADDLEBROOK REC,U.S. House,11,Under Votes,,116,,,
Sumter,0103 103 SADDLEBROOK REC,State House,33,Brett T. Hage,REP,3312,1362,1752,198
Sumter,0103 103 SADDLEBROOK REC,State House,33,"Mamie ""Dee"" Melvin",DEM,1361,,,
Sumter,0103 103 SADDLEBROOK REC,State House,33,Over Votes,,0,0,0,0
Sumter,0103 103 SADDLEBROOK REC,State House,33,Under Votes,,194,,,
Sumter,0103 103 SADDLEBROOK REC,Board of County Commissioners District 1,,Gary Search,REP,3645,1623,1821,201
Sumter,0103 103 SADDLEBROOK REC,Board of County Commissioners District 1,,Larry J. Green,,919,,,
Sumter,0103 103 SADDLEBROOK REC,Board of County Commissioners District 1,,Over Votes,,0,0,0,0
Sumter,0103 103 SADDLEBROOK REC,Board of County Commissioners District 1,,Under Votes,,303,,,
Sumter,0103 103 SADDLEBROOK REC,Justice of the Supreme Court Carlos G. Muniz,,Yes,,3253,1594,1504,155
Sumter,0103 103 SADDLEBROOK REC,Justice of the Supreme Court Carlos G. Muniz,,No,,849,496,318,35
Sumter,0103 103 SADDLEBROOK REC,Justice of the Supreme Court Carlos G. Muniz,,Over Votes,,8,,,
Sumter,0103 103 SADDLEBROOK REC,Justice of the Supreme Court Carlos G. Muniz,,Under Votes,,757,349,371,37
Sumter,0103 103 SADDLEBROOK REC,Fifth District Court of Appeal Kerry I. Evander,,Yes,,3337,1712,1470,155
Sumter,0103 103 SADDLEBROOK REC,Fifth District Court of Appeal Kerry I. Evander,,No,,744,368,343,33
Sumter,0103 103 SADDLEBROOK REC,Fifth District Court of Appeal Kerry I. Evander,,Over Votes,,6,,,
Sumter,0103 103 SADDLEBROOK REC,Fifth District Court of Appeal Kerry I. Evander,,Under Votes,,780,358,383,39
Sumter,0103 103 SADDLEBROOK REC,Fifth District Court of Appeal Jamie Grosshans,,Yes,,3176,1557,1481,138
Sumter,0103 103 SADDLEBROOK REC,Fifth District Court of Appeal Jamie Grosshans,,No,,730,424,274,32
Sumter,0103 103 SADDLEBROOK REC,Fifth District Court of Appeal Jamie Grosshans,,Over Votes,,4,,,
Sumter,0103 103 SADDLEBROOK REC,Fifth District Court of Appeal Jamie Grosshans,,Under Votes,,957,459,441,57
Sumter,0103 103 SADDLEBROOK REC,Fifth District Court of Appeal John M. Harris,,Yes,,3367,1700,1513,154
Sumter,0103 103 SADDLEBROOK REC,Fifth District Court of Appeal John M. Harris,,No,,697,382,282,33
Sumter,0103 103 SADDLEBROOK REC,Fifth District Court of Appeal John M. Harris,,Over Votes,,2,,,
Sumter,0103 103 SADDLEBROOK REC,Fifth District Court of Appeal John M. Harris,,Under Votes,,801,358,403,40
Sumter,0103 103 SADDLEBROOK REC,Fifth District Court of Appeal Richard B. Orfinger,,Yes,,3258,1679,1428,151
Sumter,0103 103 SADDLEBROOK REC,Fifth District Court of Appeal Richard B. Orfinger,,No,,766,383,344,39
Sumter,0103 103 SADDLEBROOK REC,Fifth District Court of Appeal Richard B. Orfinger,,Over Votes,,4,,,
Sumter,0103 103 SADDLEBROOK REC,Fifth District Court of Appeal Richard B. Orfinger,,Under Votes,,839,378,424,37
Sumter,0103 103 SADDLEBROOK REC,Fifth District Court of Appeal Meredith Sasso,,Yes,,3277,1645,1480,152
Sumter,0103 103 SADDLEBROOK REC,Fifth District Court of Appeal Meredith Sasso,,No,,741,411,293,37
Sumter,0103 103 SADDLEBROOK REC,Fifth District Court of Appeal Meredith Sasso,,Over Votes,,0,0,0,0
Sumter,0103 103 SADDLEBROOK REC,Fifth District Court of Appeal Meredith Sasso,,Under Votes,,849,386,425,38
Sumter,0103 103 SADDLEBROOK REC,Fifth District Court of Appeal F. Rand Wallis,,Yes,,3294,1655,1482,157
Sumter,0103 103 SADDLEBROOK REC,Fifth District Court of Appeal F. Rand Wallis,,No,,711,395,285,31
Sumter,0103 103 SADDLEBROOK REC,Fifth District Court of Appeal F. Rand Wallis,,Over Votes,,1,,,
Sumter,0103 103 SADDLEBROOK REC,Fifth District Court of Appeal F. Rand Wallis,,Under Votes,,861,391,431,39
Sumter,0103 103 SADDLEBROOK REC,No. 1 Constitutional Amendment,,Yes,,4088,1950,1927,211
Sumter,0103 103 SADDLEBROOK REC,No. 1 Constitutional Amendment,,No,,552,,,
Sumter,0103 103 SADDLEBROOK REC,No. 1 Constitutional Amendment,,Over Votes,,2,,,
Sumter,0103 103 SADDLEBROOK REC,No. 1 Constitutional Amendment,,Under Votes,,225,,,
Sumter,0103 103 SADDLEBROOK REC,No. 2 Constitutional Amendment,,Yes,,2823,1626,1086,111
Sumter,0103 103 SADDLEBROOK REC,No. 2 Constitutional Amendment,,No,,1800,701,994,105
Sumter,0103 103 SADDLEBROOK REC,No. 2 Constitutional Amendment,,Over Votes,,2,,,
Sumter,0103 103 SADDLEBROOK REC,No. 2 Constitutional Amendment,,Under Votes,,242,,,
Sumter,0103 103 SADDLEBROOK REC,No. 3 Constitutional Amendment,,Yes,,2437,1297,1029,111
Sumter,0103 103 SADDLEBROOK REC,No. 3 Constitutional Amendment,,No,,1978,948,942,88
Sumter,0103 103 SADDLEBROOK REC,No. 3 Constitutional Amendment,,Over Votes,,5,,,
Sumter,0103 103 SADDLEBROOK REC,No. 3 Constitutional Amendment,,Under Votes,,447,,,
Sumter,0103 103 SADDLEBROOK REC,No. 4 Constitutional Amendment,,Yes,,2313,1034,1157,122
Sumter,0103 103 SADDLEBROOK REC,No. 4 Constitutional Amendment,,No,,2063,1195,793,75
Sumter,0103 103 SADDLEBROOK REC,No. 4 Constitutional Amendment,,Over Votes,,1,,,
Sumter,0103 103 SADDLEBROOK REC,No. 4 Constitutional Amendment,,Under Votes,,490,212,248,30
Sumter,0103 103 SADDLEBROOK REC,No. 5 Constitutional Amendment,,Yes,,3240,1610,1479,151
Sumter,0103 103 SADDLEBROOK REC,No. 5 Constitutional Amendment,,No,,1140,613,482,45
Sumter,0103 103 SADDLEBROOK REC,No. 5 Constitutional Amendment,,Over Votes,,1,,,
Sumter,0103 103 SADDLEBROOK REC,No. 5 Constitutional Amendment,,Under Votes,,486,218,237,31
Sumter,0103 103 SADDLEBROOK REC,No. 6 Constitutional Amendment,,Yes,,3976,1998,1795,183
Sumter,0103 103 SADDLEBROOK REC,No. 6 Constitutional Amendment,,No,,467,,,
Sumter,0103 103 SADDLEBROOK REC,No. 6 Constitutional Amendment,,Over Votes,,1,,,
Sumter,0103 103 SADDLEBROOK REC,No. 6 Constitutional Amendment,,Under Votes,,423,,,
Sumter,0104 104 PIMLICO REC,Registered Voters,,,,3467,,,
Sumter,0104 104 PIMLICO REC,Ballots Cast,,,,3155,1540,1475,140
Sumter,0104 104 PIMLICO REC,Ballots Cast Blank,,,,0,0,0,0
Sumter,0104 104 PIMLICO REC,President,,Donald J. Trump,REP,2142,841,1188,113
Sumter,0104 104 PIMLICO REC,President,,Joseph R. Biden,DEM,996,,,
Sumter,0104 104 PIMLICO REC,President,,Jo Jorgensen,LPF,7,,,
Sumter,0104 104 PIMLICO REC,President,,"Roque ""Rocky"" De La Fuente",REF,1,,,
Sumter,0104 104 PIMLICO REC,President,,Gloria La Riva,PSL,0,0,0,0
Sumter,0104 104 PIMLICO REC,President,,Howie Hawkins,GRE,0,0,0,0
Sumter,0104 104 PIMLICO REC,President,,Don Blankenship,CPF,0,0,0,0
Sumter,0104 104 PIMLICO REC,President,,WRITE-IN,,2,,,
Sumter,0104 104 PIMLICO REC,President,,Over Votes,,2,,,
Sumter,0104 104 PIMLICO REC,President,,Under Votes,,5,,,
Sumter,0104 104 PIMLICO REC,U.S. House,11,Daniel Webster,REP,2173,864,1194,115
Sumter,0104 104 PIMLICO REC,U.S. House,11,Dana Marie Cottrell,DEM,896,,,
Sumter,0104 104 PIMLICO REC,U.S. House,11,Over Votes,,2,,,
Sumter,0104 104 PIMLICO REC,U.S. House,11,Under Votes,,84,,,
Sumter,0104 104 PIMLICO REC,State House,33,Brett T. Hage,REP,2136,858,1168,110
Sumter,0104 104 PIMLICO REC,State House,33,"Mamie ""Dee"" Melvin",DEM,886,,,
Sumter,0104 104 PIMLICO REC,State House,33,Over Votes,,0,0,0,0
Sumter,0104 104 PIMLICO REC,State House,33,Under Votes,,133,,,
Sumter,0104 104 PIMLICO REC,Board of County Commissioners District 1,,Gary Search,REP,2381,1060,1203,118
Sumter,0104 104 PIMLICO REC,Board of County Commissioners District 1,,Larry J. Green,,574,,,
Sumter,0104 104 PIMLICO REC,Board of County Commissioners District 1,,Over Votes,,0,0,0,0
Sumter,0104 104 PIMLICO REC,Board of County Commissioners District 1,,Under Votes,,200,,,
Sumter,0104 104 PIMLICO REC,Justice of the Supreme Court Carlos G. Muniz,,Yes,,2054,988,970,96
Sumter,0104 104 PIMLICO REC,Justice of the Supreme Court Carlos G. Muniz,,No,,559,,,
Sumter,0104 104 PIMLICO REC,Justice of the Supreme Court Carlos G. Muniz,,Over Votes,,3,,,
Sumter,0104 104 PIMLICO REC,Justice of the Supreme Court Carlos G. Muniz,,Under Votes,,539,,,
Sumter,0104 104 PIMLICO REC,Fifth District Court of Appeal Kerry I. Evander,,Yes,,2063,1034,940,89
Sumter,0104 104 PIMLICO REC,Fifth District Court of Appeal Kerry I. Evander,,No,,506,,,
Sumter,0104 104 PIMLICO REC,Fifth District Court of Appeal Kerry I. Evander,,Over Votes,,2,,,
Sumter,0104 104 PIMLICO REC,Fifth District Court of Appeal Kerry I. Evander,,Under Votes,,584,,,
Sumter,0104 104 PIMLICO REC,Fifth District Court of Appeal Jamie Grosshans,,Yes,,1994,978,927,89
Sumter,0104 104 PIMLICO REC,Fifth District Court of Appeal Jamie Grosshans,,No,,501,,,
Sumter,0104 104 PIMLICO REC,Fifth District Court of Appeal Jamie Grosshans,,Over Votes,,1,,,
Sumter,0104 104 PIMLICO REC,Fifth District Court of Appeal Jamie Grosshans,,Under Votes,,659,296,329,34
Sumter,0104 104 PIMLICO REC,Fifth District Court of Appeal John M. Harris,,Yes,,2076,1022,962,92
Sumter,0104 104 PIMLICO REC,Fifth District Court of Appeal John M. Harris,,No,,477,,,
Sumter,0104 104 PIMLICO REC,Fifth District Court of Appeal John M. Harris,,Over Votes,,0,0,0,0
