county,precinct,office,district,party,candidate,votes,election_day,absentee,early_voting,provisional
Broward,0002 A002,President,,,Write-ins,2,0,2,0,0
Broward,0002 A002,U.S. House,22,REP,"James ""Jim"" Pruden",446,126,126,194,0
Broward,0002 A002,U.S. House,22,DEM,Ted Deutch,571,94,316,161,0
Broward,0002 A002,State Attorney - 17th Judicial Circuit,,REP,Gregg Rossman,465,128,136,201,0
Broward,0002 A002,State Attorney - 17th Judicial Circuit,,DEM,Harold Fernandez Pryor,539,86,300,153,0
Broward,0002 A002,Public Defender - 17th Judicial Circuit,,DEM,Gordon Weekes,698,125,352,221,0
Broward,0002 A002,Public Defender - 17th Judicial Circuit,,,Write-ins,55,14,16,25,0
Broward,0002 A002,State House,93,REP,Chip LaMarca,489,129,150,210,0
Broward,0002 A002,State House,93,DEM,Linda Thompson Gonzalez,525,85,288,152,0
Broward,0002 A002,Sheriff,,REP,H. Wayne Clark,405,112,117,176,0
Broward,0002 A002,Sheriff,,DEM,Gregory Tony,536,85,291,160,0
Broward,0002 A002,Sheriff,,NPA,"Charles ""Chuck"" Whatley",61,18,27,16,0
Broward,0002 A002,Sheriff,,,Write-ins,7,1,1,5,0
Broward,0002 A002,Supervisor of Elections,,REP,Catherine McBreen,460,127,137,196,0
Broward,0002 A002,Supervisor of Elections,,DEM,Joe Scott,541,83,297,161,0
Broward,0002 A002,Supervisor of Elections,,,Write-ins,7,0,6,1,0
Broward,0002 A002,Justice of the Supreme Court - Carlos G. Muniz,,,Yes,547,126,194,227,0
Broward,0002 A002,Justice of the Supreme Court - Carlos G. Muniz,,,No.,362,61,209,92,0
Broward,0002 A002,Fourth District Court of Appeal - Alan O. Forst,,,Yes,558,132,204,222,0
Broward,0002 A002,Fourth District Court of Appeal - Alan O. Forst,,,No.,336,54,196,86,0
Broward,0002 A002,Fourth District Court of Appeal - Mark W. Klingensmith,,,Yes,551,124,208,219,0
Broward,0002 A002,Fourth District Court of Appeal - Mark W. Klingensmith,,,No.,332,57,186,89,0
Broward,0002 A002,Fourth District Court of Appeal - Martha C. Warner,,,Yes,664,135,302,227,0
Broward,0002 A002,Fourth District Court of Appeal - Martha C. Warner,,,No.,225,48,96,81,0
Broward,0002 A002,Circuit Judge - 17th Judicial Circuit - Group 16,,,Dennis Daniel Bailey.,487,105,186,196,0
Broward,0002 A002,Circuit Judge - 17th Judicial Circuit - Group 16,,,George Odom Jr.,370,68,198,104,0
Broward,0002 A002,School Board At Large - Seat 9,,,Debra Hixon.,646,136,293,217,0
Broward,0002 A002,School Board At Large - Seat 9,,,Jeff Holness,232,46,96,90,0
Broward,0002 A002,Broward Soil and Water Conservation District - Seat 5,,,Fred Segal,527,109,216,202,0
Broward,0002 A002,Broward Soil and Water Conservation District - Seat 5,,,Beau Simon,316,68,157,91,0
Broward,0002 A002,No. 1 Constitutional Amendment,,,Yes,727,168,294,265,0
Broward,0002 A002,No. 1 Constitutional Amendment,,,No.,249,41,136,72,0
Broward,0002 A002,No. 2 Constitutional Amendment,,,Yes,713,141,338,234,0
Broward,0002 A002,No. 2 Constitutional Amendment,,,No.,244,66,78,100,0
Broward,0002 A002,No. 3 Constitutional Amendment,,,Yes,596,130,255,211,0
Broward,0002 A002,No. 3 Constitutional Amendment,,,No.,343,71,157,115,0
Broward,0002 A002,No. 4 Constitutional Amendment,,,Yes,451,113,155,183,0
Broward,0002 A002,No. 4 Constitutional Amendment,,,No.,472,83,250,139,0
Broward,0002 A002,No. 5 Constitutional Amendment,,,Yes,685,154,288,243,0
Broward,0002 A002,No. 5 Constitutional Amendment,,,No.,240,46,114,80,0
Broward,0002 A002,No. 6 Constitutional Amendment,,,Yes,886,192,387,307,0
Broward,0002 A002,No. 6 Constitutional Amendment,,,No.,77,13,34,30,0
Broward,0002 A002,Broward County Ballot Question,,,Yes,571,124,262,185,0
Broward,0002 A002,Broward County Ballot Question,,,No.,333,68,129,136,0
Broward,0002 A002,Broward County Charter Question,,,Yes,615,126,272,217,0
Broward,0002 A002,Broward County Charter Question,,,No.,316,73,130,113,0
Broward,0003 A003,Registered Voters,,,,1910,,,,
Broward,0003 A003,Ballots Cast,,,,1543,283,983,276,1
Broward,0003 A003,Ballots Cast Blank,,,,175,43,95,37,0
Broward,0003 A003,President,,REP,Donald J. Trump,787,200,404,182,1
Broward,0003 A003,President,,DEM,Joseph R. Biden,741,80,569,92,0
Broward,0003 A003,President,,LPF,Jo Jorgensen,2,0,1,1,0
Broward,0003 A003,President,,REF,"Roque ""Rocky"" De La Fuente",0,0,0,0,0
Broward,0003 A003,President,,PSL,Gloria La Riva,1,0,1,0,0
Broward,0003 A003,President,,GRE,Howie Hawkins,1,0,1,0,0
Broward,0003 A003,President,,CPF,Don Blankenship,0,0,0,0,0
Broward,0003 A003,President,,,Write-ins,0,0,0,0,0
Broward,0003 A003,U.S. House,22,REP,"James ""Jim"" Pruden",669,184,321,163,1
Broward,0003 A003,U.S. House,22,DEM,Ted Deutch,799,79,621,99,0
Broward,0003 A003,State Attorney - 17th Judicial Circuit,,REP,Gregg Rossman,738,193,370,174,1
Broward,0003 A003,State Attorney - 17th Judicial Circuit,,DEM,Harold Fernandez Pryor,700,70,544,86,0
Broward,0003 A003,Public Defender - 17th Judicial Circuit,,DEM,Gordon Weekes,906,119,669,118,0
Broward,0003 A003,Public Defender - 17th Judicial Circuit,,,Write-ins,47,10,18,19,0
Broward,0003 A003,State Representative - District 92,,DEM,Patricia Hawkins-Williams,805,95,609,101,0
Broward,0003 A003,State Representative - District 92,,NPA,Nancy St. Clair,279,70,143,66,0
Broward,0003 A003,Sheriff,,REP,H. Wayne Clark,643,161,333,148,1
Broward,0003 A003,Sheriff,,DEM,Gregory Tony,708,83,531,94,0
Broward,0003 A003,Sheriff,,NPA,"Charles ""Chuck"" Whatley",55,12,34,9,0
Broward,0003 A003,Sheriff,,,Write-ins,11,1,6,4,0
Broward,0003 A003,Supervisor of Elections,,REP,Catherine McBreen,710,186,359,164,1
Broward,0003 A003,Supervisor of Elections,,DEM,Joe Scott,715,75,552,88,0
Broward,0003 A003,Supervisor of Elections,,,Write-ins,1,1,0,0,0
Broward,0003 A003,Justice of the Supreme Court - Carlos G. Muniz,,,Yes,801,153,515,132,1
Broward,0003 A003,Justice of the Supreme Court - Carlos G. Muniz,,,No.,395,46,275,74,0
Broward,0003 A003,Fourth District Court of Appeal - Alan O. Forst,,,Yes,828,141,548,138,1
Broward,0003 A003,Fourth District Court of Appeal - Alan O. Forst,,,No.,328,48,221,59,0
Broward,0003 A003,Fourth District Court of Appeal - Mark W. Klingensmith,,,Yes,808,139,534,134,1
Broward,0003 A003,Fourth District Court of Appeal - Mark W. Klingensmith,,,No.,336,50,226,60,0
Broward,0003 A003,Fourth District Court of Appeal - Martha C. Warner,,,Yes,946,155,646,144,1
Broward,0003 A003,Fourth District Court of Appeal - Martha C. Warner,,,No.,204,37,116,51,0
Broward,0003 A003,Circuit Judge - 17th Judicial Circuit - Group 16,,,Dennis Daniel Bailey.,724,131,469,123,1
Broward,0003 A003,Circuit Judge - 17th Judicial Circuit - Group 16,,,George Odom Jr.,312,36,224,52,0
Broward,0003 A003,School Board At Large - Seat 9,,,Debra Hixon.,834,132,556,145,1
Broward,0003 A003,School Board At Large - Seat 9,,,Jeff Holness,256,50,162,44,0
Broward,0003 A003,Broward Soil and Water Conservation District - Seat 5,,,Fred Segal,828,131,546,150,1
Broward,0003 A003,Broward Soil and Water Conservation District - Seat 5,,,Beau Simon,263,44,175,44,0
Broward,0003 A003,No. 1 Constitutional Amendment,,,Yes,1082,197,689,195,1
Broward,0003 A003,No. 1 Constitutional Amendment,,,No.,250,30,181,39,0
Broward,0003 A003,No. 2 Constitutional Amendment,,,Yes,936,150,666,120,0
Broward,0003 A003,No. 2 Constitutional Amendment,,,No.,346,82,169,94,1
Broward,0003 A003,No. 3 Constitutional Amendment,,,Yes,797,140,540,117,0
Broward,0003 A003,No. 3 Constitutional Amendment,,,No.,446,82,271,92,1
Broward,0003 A003,No. 4 Constitutional Amendment,,,Yes,613,130,383,99,1
Broward,0003 A003,No. 4 Constitutional Amendment,,,No.,608,88,414,106,0
Broward,0003 A003,No. 5 Constitutional Amendment,,,Yes,932,171,600,160,1
Broward,0003 A003,No. 5 Constitutional Amendment,,,No.,275,46,182,47,0
Broward,0003 A003,No. 6 Constitutional Amendment,,,Yes,1165,218,754,192,1
Broward,0003 A003,No. 6 Constitutional Amendment,,,No.,119,14,73,32,0
Broward,0003 A003,Broward County Ballot Question,,,Yes,887,158,580,148,1
Broward,0003 A003,Broward County Ballot Question,,,No.,319,60,201,58,0
Broward,0003 A003,Broward County Charter Question,,,Yes,845,156,568,121,0
Broward,0003 A003,Broward County Charter Question,,,No.,383,61,233,88,1
Broward,0004 A004,Registered Voters,,,,1649,,,,
Broward,0004 A004,Ballots Cast,,,,1236,323,482,431,0
Broward,0004 A004,Ballots Cast Blank,,,,110,53,21,36,0
Broward,0004 A004,President,,REP,Donald J. Trump,568,205,149,214,0
Broward,0004 A004,President,,DEM,Joseph R. Biden,649,108,326,215,0
Broward,0004 A004,President,,LPF,Jo Jorgensen,8,4,2,2,0
Broward,0004 A004,President,,REF,"Roque ""Rocky"" De La Fuente",1,0,1,0,0
Broward,0004 A004,President,,PSL,Gloria La Riva,1,0,1,0,0
Broward,0004 A004,President,,GRE,Howie Hawkins,2,2,0,0,0
Broward,0004 A004,President,,CPF,Don Blankenship,0,0,0,0,0
Broward,0004 A004,President,,,Write-ins,2,2,0,0,0
Broward,0004 A004,U.S. House,22,REP,"James ""Jim"" Pruden",537,196,138,203,0
Broward,0004 A004,U.S. House,22,DEM,Ted Deutch,646,100,332,214,0
Broward,0004 A004,State Attorney - 17th Judicial Circuit,,REP,Gregg Rossman,538,192,143,203,0
Broward,0004 A004,State Attorney - 17th Judicial Circuit,,DEM,Harold Fernandez Pryor,620,97,315,208,0
Broward,0004 A004,Public Defender - 17th Judicial Circuit,,DEM,Gordon Weekes,779,140,378,261,0
Broward,0004 A004,Public Defender - 17th Judicial Circuit,,,Write-ins,45,14,13,18,0
Broward,0004 A004,State House,93,REP,Chip LaMarca,546,197,148,201,0
Broward,0004 A004,State House,93,DEM,Linda Thompson Gonzalez,630,98,319,213,0
Broward,0004 A004,Sheriff,,REP,H. Wayne Clark,479,178,130,171,0
Broward,0004 A004,Sheriff,,DEM,Gregory Tony,606,95,292,219,0
Broward,0004 A004,Sheriff,,NPA,"Charles ""Chuck"" Whatley",67,14,34,19,0
Broward,0004 A004,Sheriff,,,Write-ins,3,1,1,1,0
Broward,0004 A004,Supervisor of Elections,,REP,Catherine McBreen,524,187,137,200,0
Broward,0004 A004,Supervisor of Elections,,DEM,Joe Scott,626,91,323,212,0
Broward,0004 A004,Supervisor of Elections,,,Write-ins,5,2,2,1,0
Broward,0004 A004,Justice of the Supreme Court - Carlos G. Muniz,,,Yes,602,162,208,232,0
Broward,0004 A004,Justice of the Supreme Court - Carlos G. Muniz,,,No.,391,53,224,114,0
Broward,0004 A004,Fourth District Court of Appeal - Alan O. Forst,,,Yes,619,151,245,223,0
Broward,0004 A004,Fourth District Court of Appeal - Alan O. Forst,,,No.,359,60,185,114,0
Broward,0004 A004,Fourth District Court of Appeal - Mark W. Klingensmith,,,Yes,620,151,243,226,0
Broward,0004 A004,Fourth District Court of Appeal - Mark W. Klingensmith,,,No.,349,57,187,105,0
Broward,0004 A004,Fourth District Court of Appeal - Martha C. Warner,,,Yes,735,163,320,252,0
Broward,0004 A004,Fourth District Court of Appeal - Martha C. Warner,,,No.,233,48,106,79,0
Broward,0004 A004,Circuit Judge - 17th Judicial Circuit - Group 16,,,Dennis Daniel Bailey.,485,121,193,171,0
Broward,0004 A004,Circuit Judge - 17th Judicial Circuit - Group 16,,,George Odom Jr.,433,72,215,146,0
Broward,0004 A004,School Board At Large - Seat 9,,,Debra Hixon.,677,145,299,233,0
Broward,0004 A004,School Board At Large - Seat 9,,,Jeff Holness,283,63,123,97,0
Broward,0004 A004,Broward Soil and Water Conservation District - Seat 5,,,Fred Segal,550,129,222,199,0
Broward,0004 A004,Broward Soil and Water Conservation District - Seat 5,,,Beau Simon,383,66,193,124,0
Broward,0004 A004,No. 1 Constitutional Amendment,,,Yes,875,232,334,309,0
Broward,0004 A004,No. 1 Constitutional Amendment,,,No.,230,36,120,74,0
Broward,0004 A004,No. 2 Constitutional Amendment,,,Yes,747,162,336,249,0
Broward,0004 A004,No. 2 Constitutional Amendment,,,No.,328,99,102,127,0
Broward,0004 A004,No. 3 Constitutional Amendment,,,Yes,669,150,284,235,0
Broward,0004 A004,No. 3 Constitutional Amendment,,,No.,377,95,152,130,0
Broward,0004 A004,No. 4 Constitutional Amendment,,,Yes,492,122,181,189,0
Broward,0004 A004,No. 4 Constitutional Amendment,,,No.,541,116,252,173,0
Broward,0004 A004,No. 5 Constitutional Amendment,,,Yes,784,187,334,263,0
Broward,0004 A004,No. 5 Constitutional Amendment,,,No.,262,61,100,101,0
Broward,0004 A004,No. 6 Constitutional Amendment,,,Yes,981,237,408,336,0
Broward,0004 A004,No. 6 Constitutional Amendment,,,No.,109,18,44,47,0
Broward,0004 A004,Broward County Ballot Question,,,Yes,655,119,320,216,0
Broward,0004 A004,Broward County Ballot Question,,,No.,364,107,118,139,0
Broward,0004 A004,Broward County Charter Question,,,Yes,685,149,290,246,0
Broward,0004 A004,Broward County Charter Question,,,No.,355,87,150,118,0
Broward,0005 A005,Registered Voters,,,,1691,,,,
Broward,0005 A005,Ballots Cast,,,,1390,448,603,339,0
Broward,0005 A005,Ballots Cast Blank,,,,107,45,38,24,0
Broward,0005 A005,President,,REP,Donald J. Trump,794,319,249,226,0
Broward,0005 A005,President,,DEM,Joseph R. Biden,577,116,350,111,0
Broward,0005 A005,President,,LPF,Jo Jorgensen,6,3,2,1,0
Broward,0005 A005,President,,REF,"Roque ""Rocky"" De La Fuente",0,0,0,0,0
Broward,0005 A005,President,,PSL,Gloria La Riva,0,0,0,0,0
Broward,0005 A005,President,,GRE,Howie Hawkins,2,2,0,0,0
Broward,0005 A005,President,,CPF,Don Blankenship,0,0,0,0,0
Broward,0005 A005,President,,,Write-ins,2,2,0,0,0
Broward,0005 A005,U.S. House,22,REP,"James ""Jim"" Pruden",767,303,245,219,0
Broward,0005 A005,U.S. House,22,DEM,Ted Deutch,572,123,337,112,0
Broward,0005 A005,State Attorney - 17th Judicial Circuit,,REP,Gregg Rossman,785,315,252,218,0
Broward,0005 A005,State Attorney - 17th Judicial Circuit,,DEM,Harold Fernandez Pryor,529,103,320,106,0
Broward,0005 A005,Public Defender - 17th Judicial Circuit,,DEM,Gordon Weekes,720,191,388,141,0
Broward,0005 A005,Public Defender - 17th Judicial Circuit,,,Write-ins,73,38,18,17,0
Broward,0005 A005,State House,93,REP,Chip LaMarca,802,321,260,221,0
Broward,0005 A005,State House,93,DEM,Linda Thompson Gonzalez,525,104,316,105,0
Broward,0005 A005,Sheriff,,REP,H. Wayne Clark,694,269,226,199,0
Broward,0005 A005,Sheriff,,DEM,Gregory Tony,543,126,307,110,0
Broward,0005 A005,Sheriff,,NPA,"Charles ""Chuck"" Whatley",56,23,25,8,0
Broward,0005 A005,Sheriff,,,Write-ins,7,3,3,1,0
Broward,0005 A005,Supervisor of Elections,,REP,Catherine McBreen,771,308,241,222,0
Broward,0005 A005,Supervisor of Elections,,DEM,Joe Scott,539,110,326,103,0
Broward,0005 A005,Supervisor of Elections,,,Write-ins,2,0,2,0,0
Broward,0005 A005,Justice of the Supreme Court - Carlos G. Muniz,,,Yes,683,246,259,178,0
Broward,0005 A005,Justice of the Supreme Court - Carlos G. Muniz,,,No.,427,108,231,88,0
Broward,0005 A005,Fourth District Court of Appeal - Alan O. Forst,,,Yes,693,239,281,173,0
Broward,0005 A005,Fourth District Court of Appeal - Alan O. Forst,,,No.,386,104,201,81,0
Broward,0005 A005,Fourth District Court of Appeal - Mark W. Klingensmith,,,Yes,684,242,276,166,0
Broward,0005 A005,Fourth District Court of Appeal - Mark W. Klingensmith,,,No.,387,101,201,85,0
Broward,0005 A005,Fourth District Court of Appeal - Martha C. Warner,,,Yes,815,254,368,193,0
Broward,0005 A005,Fourth District Court of Appeal - Martha C. Warner,,,No.,263,91,112,60,0
Broward,0005 A005,Circuit Judge - 17th Judicial Circuit - Group 16,,,Dennis Daniel Bailey.,655,216,280,159,0
Broward,0005 A005,Circuit Judge - 17th Judicial Circuit - Group 16,,,George Odom Jr.,321,82,168,71,0
Broward,0005 A005,School Board At Large - Seat 9,,,Debra Hixon.,763,234,357,172,0
Broward,0005 A005,School Board At Large - Seat 9,,,Jeff Holness,258,82,99,77,0
Broward,0005 A005,Broward Soil and Water Conservation District - Seat 5,,,Fred Segal,659,211,284,164,0
Broward,0005 A005,Broward Soil and Water Conservation District - Seat 5,,,Beau Simon,305,89,145,71,0
Broward,0005 A005,No. 1 Constitutional Amendment,,,Yes,1017,333,431,253,0
Broward,0005 A005,No. 1 Constitutional Amendment,,,No.,247,67,126,54,0
Broward,0005 A005,No. 2 Constitutional Amendment,,,Yes,816,216,425,175,0
Broward,0005 A005,No. 2 Constitutional Amendment,,,No.,412,173,112,127,0
Broward,0005 A005,No. 3 Constitutional Amendment,,,Yes,757,244,341,172,0
Broward,0005 A005,No. 3 Constitutional Amendment,,,No.,442,137,182,123,0
Broward,0005 A005,No. 4 Constitutional Amendment,,,Yes,565,202,208,155,0
Broward,0005 A005,No. 4 Constitutional Amendment,,,No.,604,168,305,131,0
Broward,0005 A005,No. 5 Constitutional Amendment,,,Yes,892,264,408,220,0
Broward,0005 A005,No. 5 Constitutional Amendment,,,No.,293,102,119,72,0
Broward,0005 A005,No. 6 Constitutional Amendment,,,Yes,1120,346,500,274,0
Broward,0005 A005,No. 6 Constitutional Amendment,,,No.,124,50,44,30,0
Broward,0005 A005,Broward County Ballot Question,,,Yes,723,210,350,163,0
Broward,0005 A005,Broward County Ballot Question,,,No.,404,146,153,105,0
Broward,0005 A005,Broward County Charter Question,,,Yes,718,223,337,158,0
Broward,0005 A005,Broward County Charter Question,,,No.,443,141,178,124,0
Broward,0006 A006,Registered Voters,,,,2297,,,,
Broward,0006 A006,Ballots Cast,,,,1687,240,786,661,0
Broward,0006 A006,Ballots Cast Blank,,,,138,29,50,59,0
Broward,0006 A006,President,,REP,Donald J. Trump,580,122,203,255,0
Broward,0006 A006,President,,DEM,Joseph R. Biden,1083,112,571,400,0
Broward,0006 A006,President,,LPF,Jo Jorgensen,3,0,0,3,0
Broward,0006 A006,President,,REF,"Roque ""Rocky"" De La Fuente",1,0,1,0,0
Broward,0006 A006,President,,PSL,Gloria La Riva,2,1,1,0,0
Broward,0006 A006,President,,GRE,Howie Hawkins,4,1,2,1,0
Broward,0006 A006,President,,CPF,Don Blankenship,1,1,0,0,0
Broward,0006 A006,President,,,Write-ins,2,0,1,1,0
Broward,0006 A006,U.S. House,22,REP,"James ""Jim"" Pruden",527,106,186,235,0
Broward,0006 A006,U.S. House,22,DEM,Ted Deutch,1093,119,570,404,0
Broward,0006 A006,State Attorney - 17th Judicial Circuit,,REP,Gregg Rossman,516,102,186,228,0
Broward,0006 A006,State Attorney - 17th Judicial Circuit,,DEM,Harold Fernandez Pryor,1080,119,557,404,0
Broward,0006 A006,Public Defender - 17th Judicial Circuit,,DEM,Gordon Weekes,1274,158,649,467,0
Broward,0006 A006,Public Defender - 17th Judicial Circuit,,,Write-ins,56,7,14,35,0
Broward,0006 A006,State Representative - District 92,,DEM,Patricia Hawkins-Williams,1129,128,564,437,0
Broward,0006 A006,State Representative - District 92,,NPA,Nancy St. Clair,301,63,127,111,0
Broward,0006 A006,Sheriff,,REP,H. Wayne Clark,481,95,175,211,0
Broward,0006 A006,Sheriff,,DEM,Gregory Tony,1037,110,531,396,0
Broward,0006 A006,Sheriff,,NPA,"Charles ""Chuck"" Whatley",75,15,36,24,0
Broward,0006 A006,Sheriff,,,Write-ins,6,0,4,2,0
Broward,0006 A006,Supervisor of Elections,,REP,Catherine McBreen,530,106,189,235,0
Broward,0006 A006,Supervisor of Elections,,DEM,Joe Scott,1068,114,561,393,0
Broward,0006 A006,Supervisor of Elections,,,Write-ins,3,0,1,2,0
Broward,0006 A006,Justice of the Supreme Court - Carlos G. Muniz,,,Yes,854,134,385,335,0
Broward,0006 A006,Justice of the Supreme Court - Carlos G. Muniz,,,No.,578,65,314,199,0
Broward,0006 A006,Fourth District Court of Appeal - Alan O. Forst,,,Yes,863,128,393,342,0
Broward,0006 A006,Fourth District Court of Appeal - Alan O. Forst,,,No.,538,63,290,185,0
Broward,0006 A006,Fourth District Court of Appeal - Mark W. Klingensmith,,,Yes,868,132,397,339,0
Broward,0006 A006,Fourth District Court of Appeal - Mark W. Klingensmith,,,No.,526,54,281,191,0
Broward,0006 A006,Fourth District Court of Appeal - Martha C. Warner,,,Yes,1038,136,507,395,0
Broward,0006 A006,Fourth District Court of Appeal - Martha C. Warner,,,No.,356,53,168,135,0
Broward,0006 A006,Circuit Judge - 17th Judicial Circuit - Group 16,,,Dennis Daniel Bailey.,629,100,275,254,0
Broward,0006 A006,Circuit Judge - 17th Judicial Circuit - Group 16,,,George Odom Jr.,736,86,392,258,0
Broward,0006 A006,School Board At Large - Seat 9,,,Debra Hixon.,947,123,459,365,0
Broward,0006 A006,School Board At Large - Seat 9,,,Jeff Holness,455,65,225,165,0
Broward,0006 A006,Broward Soil and Water Conservation District - Seat 5,,,Fred Segal,781,118,349,314,0
Broward,0006 A006,Broward Soil and Water Conservation District - Seat 5,,,Beau Simon,574,63,315,196,0
Broward,0006 A006,No. 1 Constitutional Amendment,,,Yes,1188,172,534,482,0
Broward,0006 A006,No. 1 Constitutional Amendment,,,No.,343,36,193,114,0
Broward,0006 A006,No. 2 Constitutional Amendment,,,Yes,1192,138,618,436,0
Broward,0006 A006,No. 2 Constitutional Amendment,,,No.,293,63,99,131,0
Broward,0006 A006,No. 3 Constitutional Amendment,,,Yes,996,143,483,370,0
Broward,0006 A006,No. 3 Constitutional Amendment,,,No.,458,58,217,183,0
Broward,0006 A006,No. 4 Constitutional Amendment,,,Yes,798,122,349,327,0
